,pid,lab,ml,ap,dv,phi,theta,depth
86,6d3b68e0-3efd-4b03-b747-16e44118a0a9,zadorlab,4342.000,8038.000,6176.000,22.160,20.474,6352.759
87,51ed2573-9357-43fc-9841-67e9590811c4,wittenlab,4174.000,7569.000,3860.000,156.336,7.997,3519.438
88,e42e948c-3154-45cb-bf52-408b7cda0f2f,churchlandlab_ucla,4164.000,8637.000,4669.000,137.428,11.562,4332.211
89,a3ebc7f4-813a-4f06-a33e-9825c878f9c2,danlab,4550.000,9604.000,6802.000,8.704,18.830,6737.482
90,5a34d971-1cb3-4f0e-8dfe-e51e2313a668,mainenlab,5446.000,3365.000,5623.000,137.330,13.905,4092.820
91,c250d4f4-7516-4cf1-a8bd-04873ca9e21c,danlab,4412.000,9629.000,5634.000,24.567,17.194,4510.919
92,74006cce-e266-4ebb-aaab-3fd5eb2d72e5,mainenlab,3270.000,8417.000,6292.000,47.068,11.445,6139.179
93,9ac90b86-fc72-4ca0-9389-c8b3a77da437,zadorlab,4971.000,8040.000,6097.000,33.414,14.648,6069.178
94,8ee585ba-d055-4bb5-bc5f-2266a3d62bf4,hoferlab,3667.000,7649.000,6075.000,15.960,11.346,5992.321
95,f4f45cff-c45c-413a-92ea-b6533e3e0019,mainenlab,2825.000,5674.000,7216.000,9.804,7.380,6469.588
96,f3988aec-b8c7-47d9-b1a0-5334eed7f92c,mrsicflogellab,8952.000,12051.000,5082.000,177.012,9.040,3196.325
97,269211d0-7ec9-4a87-a94f-1cf68c56749f,zadorlab,3555.000,9810.000,4242.000,30.013,8.027,3728.161
98,ce24bbe9-ae70-4659-9e9c-564d1a865de8,mrsicflogellab,5131.000,11064.000,7224.000,18.745,11.869,6258.120
99,779fbed1-4b0e-4d7d-8882-6650690221a0,danlab,3620.000,6452.000,7152.000,49.653,5.418,6632.010
100,aec2b14f-5dbc-400b-bf2e-dd13e711e2ff,wittenlab,3435.000,6636.000,5092.000,179.249,11.666,4254.830
