,pid,ml_e_m,ap_e_m,dv_e_m,ml_t_m,ap_t_m,dv_t_m
241,64aadf54-d662-4934-8c08-cad14ee5b69f,6586.689,11714.258,1388.497,7674.164,11714.258,5754.264
242,834fca72-0b69-44e4-b77e-95a61290b50d,5111.899,7585.257,715.051,4097.735,7585.257,6902.092
243,8ac7e5d5-57a4-41c8-a35d-8195784bfe95,6775.765,6921.823,585.107,4887.019,6921.823,7230.615
244,36362f75-96d8-4ed4-a728-5e72284d0995,3326.185,7346.654,1204.316,4413.660,7346.654,5570.083
245,fddceb2e-82ba-493d-baba-c5d8af65981f,3889.210,4424.248,1276.633,4976.685,4424.248,5642.399
246,c2ebf259-9777-4a8f-b1de-5302776961d2,4277.866,4593.986,1442.734,3347.607,4593.986,7117.898
247,688606f8-9733-46f2-8331-b2dd84c5d385,6544.672,3112.900,1138.780,5123.353,3112.900,6139.659
248,eab03c6e-bf98-48d2-8a0c-1887f34dd554,4767.361,5934.433,769.288,5854.836,5934.433,5135.055
249,be95fb3b-d607-409a-968e-98a3e9bcb577,6234.798,2677.401,1241.605,4873.673,2677.401,6030.692
250,af2a0072-e17e-4368-b80b-1359bf6d4647,4732.697,4663.822,750.079,5974.322,4663.822,5734.693
251,b8dbd3af-a589-41e4-878c-3372eaa1a8f6,4923.874,4715.228,882.282,3902.414,4715.228,7113.834
252,5a4740a3-8e93-495d-b6cf-83dccba01d7a,7239.000,11340.834,1478.893,6290.502,11340.834,7265.334
253,f4bd76a6-66c9-41f3-9311-6962315f8fc8,3537.319,7507.662,994.147,4624.794,7507.662,5359.913
254,664de6d9-bba2-424b-b76c-bb61900c015f,3827.235,6130.359,990.757,2732.814,6130.359,7667.420
255,adcd791c-ead3-4572-a9cb-028bbee1d2e4,4368.202,3785.063,1472.113,5455.677,3785.063,5837.879
256,523f8301-4f56-4faf-ab33-a9ff11331118,3364.000,7248.691,1132.000,4451.475,7248.691,5497.766
257,ae03524f-e493-4077-99b1-588244de9a98,6370.303,7096.411,1181.718,4466.201,7096.411,7881.254
258,3eb6e6e0-8a57-49d6-b7c9-f39d5834e682,8081.437,7366.052,987.367,7088.844,7366.052,4972.221
259,7d999a68-0215-4e45-8e6c-879c6ca2b771,3368.202,7344.714,649.514,4537.509,7344.714,5343.804
260,5a34d971-1cb3-4f0e-8dfe-e51e2313a668,4898.664,2975.170,1537.650,5537.623,2975.170,5435.708
261,8f2e16c4-893b-4f8f-bfb2-94fa452710ec,3382.908,6855.868,1313.921,2566.758,6855.868,4590.429
262,071f02e7-752a-4094-af79-8dd764e9d85d,3880.807,6922.793,751.209,4969.097,6922.793,5120.250
263,ca073754-be17-43b7-a38a-0c1e5563ff32,4897.613,6613.385,684.542,3698.675,6613.385,7998.826
264,1bf5c05b-3654-4d5c-bac9-2b96edd12adf,4826.185,3487.294,1379.458,5913.116,3487.294,5743.041
265,38124fca-a0ac-4b58-8e8b-84a2357850e6,4375.555,6370.902,1030.305,5463.301,6370.902,5397.163
266,7beb9419-113d-4e47-938c-68ab2657031e,4890.261,6864.597,1031.435,5977.735,6864.597,5397.201
267,dc7e9403-19f7-409f-9240-05ee57cb7aea,3837.739,5672.551,1052.904,2776.516,5672.551,7527.041
268,ebd18510-c263-4d5b-a736-a588862a6972,4575.134,3452.376,1132.000,5662.609,3452.376,5497.766
269,5a2f99aa-d3f5-469d-882e-0a16ee869746,4821.983,3712.318,1135.390,3865.824,3712.318,6968.568
270,a6f9e4d5-5f20-4a98-9118-22187f4d230b,3867.151,5892.726,929.740,4955.714,5892.726,5299.872
271,f4f45cff-c45c-413a-92ea-b6533e3e0019,3829.336,5157.517,988.497,2789.636,5157.517,7331.327
272,f03b61b4-6b13-479d-940f-d1608eb275cc,3380.807,7341.804,834.825,4468.282,7341.804,5200.591
273,8ab470cc-de5a-4d65-92bd-9a25fbe6d07d,3385.008,7826.770,756.859,1508.854,7826.770,7358.063
274,55001cb4-e10f-4657-9760-1228b590a69c,4888.160,7585.257,408.836,4007.515,7585.257,5781.324
275,8f4fd564-7e34-4113-a6e4-ae40faa64f7a,4334.588,4324.345,1041.605,5422.063,4324.345,5407.371
276,749cb2b7-e57e-4453-a794-f6230e4d0226,4401.815,2975.170,332.000,5448.510,2975.170,4534.050
277,2b3c3126-11f3-4a8e-aa44-2f965bf8ab9c,3908.118,3460.136,332.000,5022.780,3460.136,4806.911
278,76de0e1a-30aa-4713-9fe5-25ad2dff653f,4376.605,7582.347,332.000,3190.982,7582.347,7565.051
279,2201eb05-aebe-4bda-905e-b5cc1baf3840,6684.378,11165.276,1223.525,7771.853,11165.276,5589.292
280,39180bcb-13e5-46f9-89e1-8ea2cba22105,2870.303,6663.822,900.362,1885.141,6663.822,6910.471
281,578ca001-8cf5-4d30-b58f-1d574eaf808a,3383.958,9260.330,1507.141,4471.705,9260.330,5873.999
282,10f59add-706e-41d0-87ed-9a55eb138a66,8997.403,10960.621,788.497,8217.628,10960.621,5545.619
283,caf2170c-5463-46ce-8cd0-66f2e1e3376d,2904.966,9278.758,2542.169,4019.628,9278.758,7017.080
284,68f06c5f-8566-4a4f-a4b1-ab8398724913,6575.134,11715.228,343.299,7703.390,11715.228,4872.782
285,ee320f72-b613-4acd-b10d-3ceef332a949,3851.395,8533.851,1665.333,2884.656,8533.851,7563.052
286,f3988aec-b8c7-47d9-b1a0-5334eed7f92c,8281.017,11193.404,1599.797,8960.689,11193.404,4328.401
287,4b93a168-0f3b-4124-88fa-a57046ca70e1,3286.269,7266.149,1258.554,4392.775,7266.149,5700.721
288,642a3373-6fee-4f2a-b8d6-38dd42ada763,8085.639,7339.864,1389.627,6979.133,7339.864,5831.794
